Street Name,Record Count,Years,Amendment,Notes
BUCKINGHAM PLACE,13,1936,Buckingham Place,Auto-casing match
Bungalows,9,1933,,
BUNGALOWS,28,1927,Bungalows,Auto-casing match
Burnford Road,26,1950,,
Burnfort Road,40,1938; 1946,,
BURNFORT ROAD,14,1936,Burnfort Road,Auto-casing match
Burns Close,11,1950,,
Burton Road,65,1946; 1950,,
Byrde Close,9,1950,,
C 4 17,9,1927,,
Caddock Street,1,1946,,
Cae Brynton Road,141,1933; 1938; 1946; 1950,,
CAE BRYNTON ROAD,75,1936,Cae Brynton Road,Auto-casing match
Cae Perllan Road,292,1938; 1946; 1950,,
CAE PERLLAN ROAD,40,1936,Cae Perllan Road,Auto-casing match
Cae Perllanm Road,1,1950,,
Caerau,11,1876,,
Caerau Crescent,137,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CAERAU CRESCENT,56,1927; 1936,Caerau Crescent,Auto-casing match
Caerau Park,1,1886,,
CAERAU PARK,8,1878; 1927,Caerau Park,Auto-casing match
Caerau Road,629,1886; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CAERAU ROAD,173,1878; 1927; 1936,Caerau Road,Auto-casing match
CAERLEON CHAMBERS,16,1927,,
Caerleon Road,3522,1876; 1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CAERLEON ROAD,818,1878; 1927; 1936,Caerleon Road,Auto-casing match
CAINE STREET,2,1927; 1936,,
Caldicot Street,116,1905; 1914; 1933; 1938; 1946; 1950,,
CALDICOT STREET,43,1927; 1936,Caldicot Street,Auto-casing match
CALL OFFICE,48,1927,,
Calne Place,18,1933,,
Cambria Cottages,30,1886; 1933,,
CAMBRIA COTTAGES,1,1936,Cambria Cottages,Auto-casing match
Cambria Place,11,1905; 1933,,
CAMBRIA PLACE,2,1927; 1936,Cambria Place,Auto-casing match
Cambrian Road,188,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CAMBRIAN ROAD,117,1927; 1936,Cambrian Road,Auto-casing match
Cambridge Avenue,1,1905,,
Cambridge Road,62,1905; 1914; 1933; 1938; 1946; 1950,,
CAMBRIDGE ROAD,28,1927; 1936,Cambridge Road,Auto-casing match
Camelot Place,71,1897; 1905; 1914; 1933; 1938; 1946; 1950,,
CAMELOT PLACE,21,1927; 1936,Camelot Place,Auto-casing match
Camperdown Road,32,1938; 1946; 1950,,
CAMPERDOWN ROAD,17,1936,Camperdown Road,Auto-casing match
Canal Bank,11,1933,,
Canal Bank Cottages,18,1938; 1946; 1950,,
CANAL BANK COTTAGES,10,1936,Canal Bank Cottages,Auto-casing match
