Street Name	Record Count	Years	Amendment	Notes
Cedar Road	331	1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Cemetery Lane	45	1894; 1898; 1899; 1902; 1903; 1927		
Cenfed Street	6	1927		
Cenfedd Street	58	1914; 1933; 1936; 1938; 1946; 1950		
Century Institute	39	1927	Century Institute	
Chadwick Close	22	1950; 1971		
Charles Street	718	1876; 1878; 1886; 1893; 1894; 1897; 1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Charlotte Street	235	1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Charnwood Road	52	1927; 1933; 1938; 1946; 1950; 1971		
Chartist Tower	6	1971		
Chaucer Road	80	1933; 1938; 1946; 1950; 1971		
Chelmer Walk	10	1971	Chelmer Walk	
Chelston Place	115	1897; 1902; 1905; 1914; 1927; 1933; 1938; 1946; 1950		
Chepstow road	4117	1876; 1893; 1894; 1897; 1898; 1899; 1902; 1905; 1914; 1927; 1933; 1938; 1946; 1950; 1971		
Chepstow Road	190	1903		
Chepstown Road	172	1899		
Cherry Tree Close	11	1971	Cherry Tree Close	
Cherwell Walk	34	1971	Cherwell Walk	
Chesterfield Street	65	1903		
Chestnut Avenue	337	1933; 1936; 1938; 1946; 1950; 1971		
Chopstow Road	23	1878		
Christchurch Hill	31	1971	Christchurch Hill	
Christchurch Road	2128	1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Church Farm Close	1	1971		
Church Path	4	1897		
Church Road	1533	1894; 1897; 1902; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Church Road (b.t.)	27	1878		
Church Street	354	1876; 1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Church Terrace	50	1887; 1890; 1893; 1894		
Citizens’ Advice	16	1971		Investigate
Civic Centre	25	1971	Civic Centre	
Claremont Terrace	4	1933		
Clarence Place	1123	1878; 1893; 1894; 1897; 1898; 1899; 1902; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clarence Street	515	1876; 1878; 1886; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clayton Street	182	1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clededon Road	14	1927		
Clevedon Road	277	1914; 1933; 1936; 1938; 1946; 1950; 1971		
Clevedon Terrace	119	1902; 1903; 1927	Clevedon Terrace	
Cliffard Crescent	35	1902		
Clifford Crescent	2	1876		
Clifton Place	352	1876; 1878; 1886; 1893; 1894; 1897; 1898; 1902; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clifton Road	200	1876; 1878; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clifton road Nursery	12	1898; 1902		
Clifton Road Nursery	9	1903		
Clifton Terrace	28	1876; 1886; 1890; 1893; 1902		
Clist Walk	6	1971	Clist Walk	
Close	22	1971		Investigate
Club Row	141	1876; 1878; 1886; 1893; 1894; 1897		
Clyffard Ccrescent	14	1890		
Clyffard Crescent	557	1893; 1894; 1897; 1898; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Clyfford Crescent	9	1878	Clyfford Crescent	Did the name change?
Clytha Crescent	1063	1876; 1878; 1890; 1893; 1894; 1897; 1898; 1902; 1903; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Clytha Park	97	1878; 1914; 1946		
Clytha Park Road	348	1876; 1878; 1897; 1905; 1927; 1933; 1936; 1938; 1950; 1971		
